title,year,score,runtime,rating,genre,gross,director
"
26.
Christopher Robin
(2018)
",(2018),7.2,104 min,PG,"
Adventure, Comedy, Drama            ","83,004","
    Director:
Marc Forster
| 
    Stars:
Ewan McGregor, 
Hayley Atwell, 
Bronte Carmichael, 
Mark Gatiss
"
"
27.
Ant-Man and the Wasp
(2018)
",(2018),7,118 min,PG-13,"
Action, Adventure, Comedy            ","440,168","
    Director:
Peyton Reed
| 
    Stars:
Paul Rudd, 
Evangeline Lilly, 
Michael Peña, 
Walton Goggins
"
"
28.
Incredibles 2
(2018)
",(2018),7.6,118 min,PG,"
Animation, Action, Adventure            ","322,296","
    Director:
Brad Bird
| 
    Stars:
Craig T. Nelson, 
Holly Hunter, 
Sarah Vowell, 
Huck Milner
"
"
29.
Avengers: Infinity War
(2018)
",(2018),8.4,149 min,PG-13,"
Action, Adventure, Sci-Fi            ","1,172,074","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans
"
"
30.
A Wrinkle in Time
(2018)
",(2018),4.3,109 min,PG,"
Adventure, Drama, Family            ","47,255","
    Director:
Ava DuVernay
| 
    Stars:
Storm Reid, 
Oprah Winfrey, 
Reese Witherspoon, 
Mindy Kaling
"
"
31.
Black Panther
(2018)
",(2018),7.3,134 min,PG-13,"
Action, Adventure, Sci-Fi            ","823,180","
    Director:
Ryan Coogler
| 
    Stars:
Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira
"
"
32.
Coco
(I) (2017)
",(I) (2017),8.4,105 min,PG,"
Animation, Adventure, Drama            ","568,286","
    Directors:
Lee Unkrich, 
Adrian Molina
| 
    Stars:
Anthony Gonzalez, 
Gael García Bernal, 
Benjamin Bratt, 
Alanna Ubach
"
"
33.
Thor: Ragnarok
(2017)
",(2017),7.9,130 min,PG-13,"
Action, Adventure, Comedy            ","801,326","
    Director:
Taika Waititi
| 
    Stars:
Chris Hemsworth, 
Tom Hiddleston, 
Cate Blanchett, 
Mark Ruffalo
"
"
34.
Cars 3
(2017)
",(2017),6.7,102 min,G,"
Animation, Adventure, Comedy            ","116,450","
    Director:
Brian Fee
| 
    Stars:
Owen Wilson, 
Cristela Alonzo, 
Chris Cooper, 
Nathan Fillion
"
"
35.
Pirates of the Caribbean: Dead Men Tell No Tales
(2017)
",(2017),6.5,129 min,PG-13,"
Action, Adventure, Fantasy            ","337,049","
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Johnny Depp, 
Geoffrey Rush, 
Javier Bardem, 
Orlando Bloom
"
"
36.
Guardians of the Galaxy Vol. 2
(2017)
",(2017),7.6,136 min,PG-13,"
Action, Adventure, Comedy            ","743,942","
    Director:
James Gunn
| 
    Stars:
Chris Pratt, 
Zoe Saldana, 
Dave Bautista, 
Vin Diesel
"
"
37.
Beauty and the Beast
(I) (2017)
",(I) (2017),7.1,129 min,PG,"
Adventure, Family, Fantasy            ","328,595","
    Director:
Bill Condon
| 
    Stars:
Emma Watson, 
Dan Stevens, 
Luke Evans, 
Josh Gad
"
"
38.
Rogue One: A Star Wars Story
(2016)
",(2016),7.8,133 min,PG-13,"
Action, Adventure, Sci-Fi            ","674,609","
    Director:
Gareth Edwards
| 
    Stars:
Felicity Jones, 
Diego Luna, 
Alan Tudyk, 
Donnie Yen
"
"
39.
Moana
(I) (2016)
",(I) (2016),7.6,107 min,PG,"
Animation, Adventure, Comedy            ","366,688","
    Directors:
Ron Clements, 
John Musker, 
Don Hall, 
Chris Williams
| 
    Stars:
Auli'i Cravalho, 
Dwayne Johnson, 
Rachel House, 
Temuera Morrison
"
"
40.
Doctor Strange
(2016)
",(2016),7.5,115 min,PG-13,"
Action, Adventure, Fantasy            ","789,153","
    Director:
Scott Derrickson
| 
    Stars:
Benedict Cumberbatch, 
Chiwetel Ejiofor, 
Rachel McAdams, 
Benedict Wong
"
"
41.
Queen of Katwe
(2016)
",(2016),7.4,124 min,PG,"
Biography, Drama, Sport            ","18,455","
    Director:
Mira Nair
| 
    Stars:
Madina Nalwanga, 
David Oyelowo, 
Lupita Nyong'o, 
Martin Kabanza
"
"
42.
Pete's Dragon
(2016)
",(2016),6.7,102 min,PG,"
Action, Adventure, Comedy            ","61,042","
    Director:
David Lowery
| 
    Stars:
Bryce Dallas Howard, 
Robert Redford, 
Oakes Fegley, 
Oona Laurence
"
"
43.
Adventures in Babysitting
(2016 TV Movie)
",(2016 TV Movie),5.9,105 min,TV-G,"
Adventure, Comedy, Family            ","4,475","
    Director:
John Schultz
| 
    Stars:
Sabrina Carpenter, 
Sofia Carson, 
Nikki Hahn, 
Mallory James Mahoney
"
"
44.
Finding Dory
(2016)
",(2016),7.2,97 min,PG,"
Animation, Adventure, Comedy            ","296,479","
    Directors:
Andrew Stanton, 
Angus MacLane
| 
    Stars:
Ellen DeGeneres, 
Albert Brooks, 
Ed O'Neill, 
Kaitlin Olson
"
"
45.
The BFG
(2016)
",(2016),6.3,117 min,PG,"
Adventure, Family, Fantasy            ","91,794","
    Director:
Steven Spielberg
| 
    Stars:
Mark Rylance, 
Ruby Barnhill, 
Penelope Wilton, 
Jemaine Clement
"
"
46.
Alice Through the Looking Glass
(2016)
",(2016),6.2,113 min,PG,"
Adventure, Family, Fantasy            ","119,280","
    Director:
James Bobin
| 
    Stars:
Mia Wasikowska, 
Johnny Depp, 
Helena Bonham Carter, 
Anne Hathaway
"
"
47.
Captain America: Civil War
(2016)
",(2016),7.8,147 min,PG-13,"
Action, Sci-Fi            ","834,789","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
"
"
48.
The Jungle Book
(2016)
",(2016),7.4,106 min,PG,"
Animation, Adventure, Comedy            ","288,524","
    Director:
Jon Favreau
| 
    Stars:
Neel Sethi, 
Bill Murray, 
Ben Kingsley, 
Idris Elba
"
"
49.
Zootopia
(2016)
",(2016),8,108 min,PG,"
Animation, Adventure, Comedy            ","533,562","
    Directors:
Byron Howard, 
Rich Moore, 
Jared Bush
| 
    Stars:
Ginnifer Goodwin, 
Jason Bateman, 
Idris Elba, 
Jenny Slate
"
"
50.
The Finest Hours
(2016)
",(2016),6.7,117 min,PG-13,"
Action, Drama, History            ","69,914","
    Director:
Craig Gillespie
| 
    Stars:
Chris Pine, 
Casey Affleck, 
Ben Foster, 
Eric Bana
"
"
51.
Star Wars: Episode VII - The Force Awakens
(2015)
",(2015),7.8,138 min,PG-13,"
Action, Adventure, Sci-Fi            ","962,550","
    Director:
J.J. Abrams
| 
    Stars:
Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Domhnall Gleeson
"
"
52.
The Good Dinosaur
(2015)
",(2015),6.7,93 min,PG,"
Animation, Adventure, Comedy            ","124,849","
    Director:
Peter Sohn
| 
    Stars:
Jeffrey Wright, 
Frances McDormand, 
Maleah Nipay-Padilla, 
Ryan Teeple
"
"
53.
Ant-Man
(2015)
",(2015),7.3,117 min,PG-13,"
Action, Comedy, Sci-Fi            ","710,226","
    Director:
Peyton Reed
| 
    Stars:
Paul Rudd, 
Michael Douglas, 
Corey Stoll, 
Evangeline Lilly
"
"
54.
Inside Out
(I) (2015)
",(I) (2015),8.1,95 min,PG,"
Animation, Adventure, Comedy            ","765,659","
    Directors:
Pete Docter, 
Ronnie Del Carmen
| 
    Stars:
Amy Poehler, 
Bill Hader, 
Lewis Black, 
Mindy Kaling
"
"
55.
Tomorrowland
(2015)
",(2015),6.4,130 min,PG,"
Action, Adventure, Family            ","189,171","
    Director:
Brad Bird
| 
    Stars:
George Clooney, 
Britt Robertson, 
Hugh Laurie, 
Raffey Cassidy
"
"
56.
Cinderella
(I) (2015)
",(I) (2015),6.9,105 min,PG,"
Adventure, Drama, Family            ","187,535","
    Director:
Kenneth Branagh
| 
    Stars:
Lily James, 
Cate Blanchett, 
Richard Madden, 
Helena Bonham Carter
"
"
57.
McFarland, USA
(2015)
",(2015),7.4,129 min,PG,"
Biography, Drama, Sport            ","41,448","
    Director:
Niki Caro
| 
    Stars:
Kevin Costner, 
Maria Bello, 
Ramiro Rodriguez, 
Carlos Pratts
"
"
58.
Into the Woods
(2014)
",(2014),5.9,125 min,PG,"
Adventure, Comedy, Drama            ","146,602","
    Director:
Rob Marshall
| 
    Stars:
Anna Kendrick, 
Meryl Streep, 
Chris Pine, 
Emily Blunt
"
"
59.
Big Hero 6
(2014)
",(2014),7.8,102 min,PG,"
Animation, Action, Adventure            ","491,301","
    Directors:
Don Hall, 
Chris Williams
| 
    Stars:
Ryan Potter, 
Scott Adsit, 
Jamie Chung, 
T.J. Miller
"
"
60.
Alexander and the Terrible, Horrible, No Good, Very Bad Day
(2014)
",(2014),6.2,81 min,PG,"
Comedy, Drama, Family            ","46,122","
    Director:
Miguel Arteta
| 
    Stars:
Steve Carell, 
Jennifer Garner, 
Ed Oxenbould, 
Dylan Minnette
"
"
61.
Planes: Fire & Rescue
(2014)
",(2014),5.9,83 min,PG,"
Animation, Adventure, Comedy            ","19,460","
    Director:
Bobs Gannaway
| 
    Stars:
Dane Cook, 
Ed Harris, 
Julie Bowen, 
Curtis Armstrong
"
"
62.
Maleficent
(2014)
",(2014),6.9,97 min,PG,"
Action, Adventure, Drama            ","394,999","
    Director:
Robert Stromberg
| 
    Stars:
Angelina Jolie, 
Elle Fanning, 
Sharlto Copley, 
Lesley Manville
"
"
63.
Million Dollar Arm
(2014)
",(2014),7,124 min,PG,"
Biography, Drama, Sport            ","47,468","
    Director:
Craig Gillespie
| 
    Stars:
Jon Hamm, 
Aasif Mandvi, 
Alan Arkin, 
Suraj Sharma
"
"
64.
Bears
(I) (2014)
",(I) (2014),7.3,78 min,G,"
Documentary, Family            ","7,034","
    Directors:
Alastair Fothergill, 
Keith Scholey, 
Adam Chapman
| 
    Star:
John C. Reilly
"
"
65.
Muppets Most Wanted
(2014)
",(2014),6.4,107 min,PG,"
Adventure, Comedy, Crime            ","36,562","
    Director:
James Bobin
| 
    Stars:
Ricky Gervais, 
Ty Burrell, 
Tina Fey, 
Steve Whitmire
"
"
66.
Frozen
(I) (2013)
",(I) (2013),7.4,102 min,PG,"
Animation, Adventure, Comedy            ","653,283","
    Directors:
Chris Buck, 
Jennifer Lee
| 
    Stars:
Kristen Bell, 
Idina Menzel, 
Jonathan Groff, 
Josh Gad
"
"
67.
Saving Mr. Banks
(2013)
",(2013),7.5,125 min,PG-13,"
Biography, Comedy, Drama            ","168,436","
    Director:
John Lee Hancock
| 
    Stars:
Emma Thompson, 
Tom Hanks, 
Annie Rose Buckley, 
Colin Farrell
"
"
68.
Planes
(2013)
",(2013),5.7,91 min,PG,"
Animation, Adventure, Comedy            ","47,940","
    Director:
Klay Hall
| 
    Stars:
Carlos Alazraqui, 
Dane Cook, 
Stacy Keach, 
Brad Garrett
"
"
69.
Teen Beach Movie
(2013 TV Movie)
",(2013 TV Movie),5.9,110 min,Not Rated,"
Comedy, Family, Fantasy            ","13,588","
    Director:
Jeffrey Hornaday
| 
    Stars:
Ross Lynch, 
Maia Mitchell, 
Gracie Gillam, 
Garrett Clayton
"
"
70.
The Lone Ranger
(2013)
",(2013),6.4,150 min,PG-13,"
Action, Adventure, Western            ","242,354","
    Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Armie Hammer, 
William Fichtner, 
Tom Wilkinson
"
"
71.
Monsters University
(2013)
",(2013),7.2,104 min,G,"
Animation, Adventure, Comedy            ","382,333","
    Director:
Dan Scanlon
| 
    Stars:
Billy Crystal, 
John Goodman, 
Steve Buscemi, 
Helen Mirren
"
"
72.
The Wizards Return: Alex vs. Alex
(2013 TV Movie)
",(2013 TV Movie),6.3,60 min,TV-G,"
Animation, Action, Adventure            ","7,081","
    Director:
Victor Gonzalez
| 
    Stars:
Selena Gomez, 
Jake T. Austin, 
Jennifer Stone, 
Gregg Sulkin
"
"
73.
Oz the Great and Powerful
(2013)
",(2013),6.3,130 min,PG,"
Adventure, Family, Fantasy            ","213,047","
    Director:
Sam Raimi
| 
    Stars:
James Franco, 
Michelle Williams, 
Rachel Weisz, 
Mila Kunis
"
"
74.
Wreck-It Ralph
(2012)
",(2012),7.7,101 min,PG,"
Animation, Adventure, Comedy            ","449,721","
    Director:
Rich Moore
| 
    Stars:
John C. Reilly, 
Jack McBrayer, 
Jane Lynch, 
Sarah Silverman
"
"
75.
Frankenweenie
(2012)
",(2012),6.9,87 min,PG,"
Animation, Comedy, Drama            ","115,576","
    Director:
Tim Burton
| 
    Stars:
Winona Ryder, 
Catherine O'Hara, 
Martin Short, 
Martin Landau
"
"
76.
Beverly Hills Chihuahua 3: Viva La Fiesta!
(2012 Video)
",(2012 Video),4.4,89 min,G,"
Adventure, Comedy, Family            ","2,354","
    Director:
Lev L. Spiro
| 
    Stars:
Marcus Coloma, 
Erin Cahill, 
Cedric Yarbrough, 
Frances Fisher
"
"
77.
The Odd Life of Timothy Green
(2012)
",(2012),6.6,105 min,PG,"
Comedy, Drama, Family            ","48,240","
    Director:
Peter Hedges
| 
    Stars:
Jennifer Garner, 
Joel Edgerton, 
CJ Adams, 
Odeya Rush
"
"
78.
Brave
(2012)
",(2012),7.1,93 min,PG,"
Animation, Action, Adventure            ","434,336","
    Directors:
Mark Andrews, 
Brenda Chapman, 
Steve Purcell
| 
    Stars:
Kelly Macdonald, 
Billy Connolly, 
Emma Thompson, 
Julie Walters
"
"
79.
Let It Shine
(2012 TV Movie)
",(2012 TV Movie),6.4,104 min,TV-G,"
Drama, Family, Music            ","4,398","
    Director:
Paul Hoen
| 
    Stars:
Tyler James Williams, 
Coco Jones, 
Trevor Jackson, 
Toni Winzy-Cutno
"
"
80.
Chimpanzee
(2012)
",(2012),7.1,78 min,G,"
Documentary, Family            ","6,331","
    Directors:
Alastair Fothergill, 
Mark Linfield
| 
    Star:
Tim Allen
"
"
81.
John Carter
(2012)
",(2012),6.6,132 min,PG-13,"
Action, Adventure, Sci-Fi            ","283,171","
    Director:
Andrew Stanton
| 
    Stars:
Taylor Kitsch, 
Lynn Collins, 
Willem Dafoe, 
Samantha Morton
"
"
82.
The Muppets
(2011)
",(2011),7.1,103 min,PG,"
Adventure, Comedy, Family            ","96,034","
    Director:
James Bobin
| 
    Stars:
Amy Adams, 
Jason Segel, 
Chris Cooper, 
Rashida Jones
"
"
83.
Phineas and Ferb the Movie: Across the 2nd Dimension
(2011 TV Movie)
",(2011 TV Movie),7.4,78 min,TV-G,"
Animation, Action, Adventure            ","13,277","
    Directors:
Robert Hughes, 
Dan Povenmire, 
Jay Lender, 
Jeff 'Swampy' Marsh, 
Kyle Menke
| 
    Stars:
Vincent Martella, 
Ashley Tisdale, 
Thomas Brodie-Sangster, 
Caroline Rhea
"
"
84.
Cars 2
(2011)
",(2011),6.2,106 min,G,"
Animation, Adventure, Comedy            ","210,892","
    Directors:
John Lasseter, 
Bradford Lewis
| 
    Stars:
Owen Wilson, 
Larry the Cable Guy, 
Michael Caine, 
Emily Mortimer
"
"
85.
Pirates of the Caribbean: On Stranger Tides
(2011)
",(2011),6.6,136 min,PG-13,"
Action, Adventure, Fantasy            ","554,523","
    Director:
Rob Marshall
| 
    Stars:
Johnny Depp, 
Penélope Cruz, 
Ian McShane, 
Geoffrey Rush
"
"
86.
Prom
(2011)
",(2011),5.4,104 min,PG,"
Comedy, Drama, Family            ","15,617","
    Director:
Joe Nussbaum
| 
    Stars:
Aimee Teegarden, 
Thomas McDonell, 
DeVaughn Nixon, 
Danielle Campbell
"
"
87.
African Cats
(2011)
",(2011),7.5,89 min,G,"
Documentary, Adventure            ","6,683","
    Directors:
Keith Scholey, 
Alastair Fothergill
| 
    Stars:
Samuel L. Jackson, 
Patrick Stewart
"
"
88.
Sharpay's Fabulous Adventure
(2011 Video)
",(2011 Video),4.7,90 min,G,"
Comedy, Drama, Family            ","7,342","
    Director:
Michael Lembeck
| 
    Stars:
Ashley Tisdale, 
Austin Butler, 
Cameron Goodman, 
Bradley Steven Perry
"
"
89.
Zokkomon
(2011)
",(2011),4.1,109 min,PG,"
Action, Adventure, Family            ",451,"
    Director:
Satyajit Bhatkal
| 
    Stars:
Darsheel Safary, 
Anupam Kher, 
Manjari Fadnnis, 
Tinnu Anand
"
"
90.
Lemonade Mouth
(2011 TV Movie)
",(2011 TV Movie),6.9,103 min,TV-PG,"
Comedy, Drama, Family            ","19,932","
    Director:
Patricia Riggen
| 
    Stars:
Bridgit Mendler, 
Adam Hicks, 
Hayley Kiyoko, 
Naomi Scott
"
"
91.
Winnie the Pooh
(2011)
",(2011),7.1,63 min,G,"
Animation, Adventure, Comedy            ","27,777","
    Directors:
Stephen J. Anderson, 
Don Hall
| 
    Stars:
Jim Cummings, 
Craig Ferguson, 
John Cleese, 
Bud Luckey
"
"
92.
Mars Needs Moms
(2011)
",(2011),5.4,88 min,PG,"
Animation, Action, Adventure            ","23,653","
    Director:
Simon Wells
| 
    Stars:
Seth Green, 
Joan Cusack, 
Dan Fogler, 
Elisabeth Harnois
"
"
93.
Beverly Hills Chihuahua 2
(2011 Video)
",(2011 Video),4.2,85 min,G,"
Adventure, Comedy, Family            ","4,393","
    Director:
Alex Zamm
| 
    Stars:
Marcus Coloma, 
Erin Cahill, 
Susan Blakely, 
Lupe Ontiveros
"
"
94.
TRON: Legacy
(2010)
",(2010),6.8,125 min,PG,"
Action, Adventure, Sci-Fi            ","351,368","
    Director:
Joseph Kosinski
| 
    Stars:
Jeff Bridges, 
Garrett Hedlund, 
Olivia Wilde, 
Bruce Boxleitner
"
"
95.
Tangled
(2010)
",(2010),7.7,100 min,PG,"
Animation, Adventure, Comedy            ","483,744","
    Directors:
Nathan Greno, 
Byron Howard
| 
    Stars:
Mandy Moore, 
Zachary Levi, 
Donna Murphy, 
Ron Perlman
"
"
96.
The Search for Santa Paws
(2010 Video)
",(2010 Video),5.3,96 min,G,"
Adventure, Drama, Family            ","3,158","
    Director:
Robert Vince
| 
    Stars:
Kaitlyn Maher, 
Madison Pettis, 
Richard Riehle, 
Danny Woodburn
"
"
97.
Disney WOW: World of Wonder
(2010 Video)
",(2010 Video),8.8,240 min,NA,"
Documentary            ",11,"
    Director:
Richard J. Casey
| 
    Stars:
Eryca Dawson, 
Craig Sechler
"
"
98.
Secretariat
(2010)
",(2010),7.2,123 min,PG,"
Biography, Drama, Family            ","30,153","
    Director:
Randall Wallace
| 
    Stars:
Diane Lane, 
John Malkovich, 
Margo Martindale, 
Nelsan Ellis
"
"
99.
Camp Rock 2: The Final Jam
(2010 TV Movie)
",(2010 TV Movie),5.2,97 min,TV-G,"
Comedy, Family, Music            ","20,203","
    Director:
Paul Hoen
| 
    Stars:
Demi Lovato, 
Joe Jonas, 
Nick Jonas, 
Kevin Jonas
"
"
100.
The Secret World of Arrietty
(2010)
",(2010),7.6,94 min,G,"
Animation, Adventure, Drama            ","100,874","
    Director:
Hiromasa Yonebayashi
| 
    Stars:
Bridgit Mendler, 
Amy Poehler, 
Will Arnett, 
Mirai Shida
"
"
101.
The Sorcerer's Apprentice
(2010)
",(2010),6.1,109 min,PG,"
Action, Adventure, Family            ","168,355","
    Director:
Jon Turteltaub
| 
    Stars:
Nicolas Cage, 
Jay Baruchel, 
Alfred Molina, 
Teresa Palmer
"
"
102.
Toy Story 3
(2010)
",(2010),8.3,103 min,G,"
Animation, Adventure, Comedy            ","877,862","
    Director:
Lee Unkrich
| 
    Stars:
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Ned Beatty
"
"
103.
Prince of Persia: The Sands of Time
(2010)
",(2010),6.6,116 min,PG-13,"
Action, Adventure, Fantasy            ","300,709","
    Director:
Mike Newell
| 
    Stars:
Jake Gyllenhaal, 
Gemma Arterton, 
Ben Kingsley, 
Alfred Molina
"
"
104.
Alice in Wonderland
(I) (2010)
",(I) (2010),6.4,108 min,PG,"
Adventure, Family, Fantasy            ","434,613","
    Director:
Tim Burton
| 
    Stars:
Mia Wasikowska, 
Johnny Depp, 
Helena Bonham Carter, 
Anne Hathaway
"
"
105.
StarStruck
(2010 TV Movie)
",(2010 TV Movie),6.1,90 min,TV-G,"
Comedy, Family, Music            ","17,000","
    Director:
Michael Grossman
| 
    Stars:
Sterling Knight, 
Danielle Campbell, 
Maggie Castle, 
Brandon Mychal Smith
"
"
106.
Prep & Landing
(2009 TV Short)
",(2009 TV Short),7.6,22 min,TV-G,"
Animation, Short, Adventure            ","3,816","
    Directors:
Kevin Deters, 
Stevie Wermers
| 
    Stars:
David Foley, 
Sarah Chalke, 
Mason Cotton, 
David DeLuise
"
"
107.
Old Dogs
(I) (2009)
",(I) (2009),5.3,88 min,PG,"
Comedy, Family            ","39,258","
    Director:
Walt Becker
| 
    Stars:
Robin Williams, 
John Travolta, 
Seth Green, 
Kelly Preston
"
"
108.
The Princess and the Frog
(2009)
",(2009),7.1,97 min,G,"
Animation, Adventure, Comedy            ","162,338","
    Directors:
Ron Clements, 
John Musker
| 
    Stars:
Anika Noni Rose, 
Keith David, 
Oprah Winfrey, 
Bruno Campos
"
"
109.
A Christmas Carol
(2009)
",(2009),6.8,96 min,PG,"
Animation, Adventure, Comedy            ","126,190","
    Director:
Robert Zemeckis
| 
    Stars:
Jim Carrey, 
Gary Oldman, 
Colin Firth, 
Steve Valentine
"
"
110.
Where the Wild Things Are
(2009)
",(2009),6.7,101 min,PG,"
Adventure, Drama, Family            ","107,825","
    Director:
Spike Jonze
| 
    Stars:
Max Records, 
Catherine O'Hara, 
Forest Whitaker, 
Pepita Emmerichs
"
"
111.
Wizards on Deck with Hannah Montana
(2009 Video)
",(2009 Video),6.5,68 min,NA,"
Comedy, Family            ","1,644",
